id_domicilio,id_pessoa,trimestre_num,numero_entrevistas_pessoa,peso_pessoa,capital,situacao_urbana_rural,tipo_area,peso_amostral,sexo,idade,cor_raca,nivel_instrucao,numero_trabalhos,area_trabalho,grupo_atividade,grupo_ocupacao,rendimento_habitual,horas_habituais,target_informal
250031517-14-11,250031517-14-11-02,1,2,0.5,0,1,2,324.12160006,1,25,4,6,2,,04,04,1420.0,50,0
250031643-01-11,250031643-01-11-01,1,2,0.5,0,2,4,437.00915688,2,29,1,4,1,,11,09,400.0,25,1
250031643-01-11,250031643-01-11-02,1,2,0.5,0,2,4,437.00915688,1,31,1,2,1,,01,09,800.0,40,1
250031643-03-11,250031643-03-11-01,1,2,0.5,0,2,4,326.80428005,1,56,4,1,1,,01,09,280.0,8,1
250031643-04-11,250031643-04-11-02,1,2,0.5,0,2,4,442.57461648,1,28,2,5,1,,01,06,1400.0,30,1
250031643-07-11,250031643-07-11-01,1,2,0.5,0,2,4,385.17189618,1,39,4,5,1,3,09,05,1412.0,25,0
250031643-09-11,250031643-09-11-01,1,2,0.5,0,2,4,410.54460984,1,28,4,3,1,,01,09,700.0,24,1
250031643-11-11,250031643-11-11-01,1,2,0.5,0,2,4,327.13592277,1,59,4,1,1,,01,06,100.0,36,1
250031643-12-11,250031643-12-11-01,1,2,0.5,0,2,4,383.69038263,2,37,1,5,1,,11,09,450.0,20,1
250031643-12-11,250031643-12-11-02,1,2,0.5,0,2,4,383.69038263,1,43,4,1,1,,01,06,500.0,20,1
250031643-13-11,250031643-13-11-01,1,2,0.5,0,2,4,453.44196476,1,37,1,3,1,,01,09,700.0,30,1
250031643-14-11,250031643-14-11-01,1,2,0.5,0,2,4,394.62536173,1,39,4,4,1,,01,06,200.0,40,1
250031823-01-10,250031823-01-10-01,1,1,1.0,0,1,2,295.583504,1,59,2,2,1,,07,05,1600.0,36,0
250031823-02-10,250031823-02-10-03,1,1,1.0,0,1,2,332.18854052,1,31,1,3,1,,03,09,700.0,30,1
250031823-04-10,250031823-04-10-02,1,1,1.0,0,1,2,367.1275502,1,28,4,5,1,,03,09,800.0,30,1
250031823-07-10,250031823-07-10-01,1,1,1.0,0,1,2,307.05846127,2,50,4,2,1,,11,09,1412.0,44,1
250031823-07-10,250031823-07-10-02,1,1,1.0,0,1,2,307.05846127,1,42,4,2,1,,03,07,1000.0,30,1
250031823-08-10,250031823-08-10-01,1,1,1.0,0,1,2,237.34246027,2,60,4,2,1,,04,05,500.0,112,0
250031823-08-10,250031823-08-10-02,1,1,1.0,0,1,2,237.34246027,1,62,4,1,1,,04,05,500.0,112,0
250031823-09-10,250031823-09-10-01,1,1,1.0,0,1,2,368.14656196,1,30,1,5,1,,05,08,1500.0,50,1
250031823-09-10,250031823-09-10-02,1,1,1.0,0,1,2,368.14656196,2,30,1,5,1,,02,04,1500.0,44,0
250031823-10-10,250031823-10-10-01,1,1,1.0,0,1,2,346.59668932,1,38,4,2,1,,03,09,500.0,30,1
250031823-13-10,250031823-13-10-01,1,1,1.0,0,1,2,337.71794315,1,28,1,2,1,,03,09,1200.0,50,1
250031823-14-10,250031823-14-10-01,1,1,1.0,0,1,2,260.4467845,1,71,4,5,1,,04,05,200.0,20,1
250031904-03-11,250031904-03-11-01,1,3,0.3333333333333333,0,1,2,278.42871204,1,47,1,6,1,,10,02,1412.0,30,0
250031904-03-11,250031904-03-11-02,1,3,0.3333333333333333,0,1,2,278.42871204,2,45,1,6,1,,09,03,1412.0,42,0
250031904-05-11,250031904-05-11-02,1,3,0.3333333333333333,0,1,2,221.01329826,2,56,4,2,1,,06,05,1000.0,10,1
250031904-06-11,250031904-06-11-01,1,3,0.3333333333333333,0,1,2,273.29842491,1,51,4,2,1,,02,03,2225.0,44,0
250031904-07-11,250031904-07-11-01,1,3,0.3333333333333333,0,1,2,249.79960682,2,51,4,7,1,,09,02,1412.0,20,0
250031904-07-11,250031904-07-11-02,1,3,0.3333333333333333,0,1,2,249.79960682,1,51,4,2,1,,04,07,5000.0,40,0
250031904-07-11,250031904-07-11-03,1,3,0.3333333333333333,0,1,2,249.79960682,2,28,4,7,1,,09,02,1412.0,40,1
250031904-08-11,250031904-08-11-01,1,3,0.3333333333333333,0,1,2,231.28289541,2,36,4,7,1,3,09,03,3000.0,40,0
250031904-08-11,250031904-08-11-02,1,3,0.3333333333333333,0,1,2,231.28289541,1,60,4,2,1,,02,09,1412.0,44,0
250031904-08-11,250031904-08-11-04,1,3,0.3333333333333333,0,1,2,231.28289541,2,32,4,7,1,,10,04,1200.0,32,1
250031904-11-11,250031904-11-11-03,1,2,0.5,0,1,2,257.29165765,2,37,4,5,1,,02,07,1500.0,46,0
250031904-11-11,250031904-11-11-04,1,3,0.3333333333333333,0,1,2,257.29165765,1,33,4,6,1,,02,03,3000.0,60,0
250031904-12-11,250031904-12-11-02,1,3,0.3333333333333333,0,1,2,251.90779355,1,55,4,5,1,,03,08,2000.0,60,0
250031904-12-11,250031904-12-11-03,1,3,0.3333333333333333,0,1,2,251.90779355,2,33,4,6,1,,09,02,650.0,20,1
250031904-13-11,250031904-13-11-01,1,3,0.3333333333333333,0,1,2,307.79921008,2,36,4,5,1,,04,09,1530.0,42,0
250031904-13-11,250031904-13-11-02,1,3,0.3333333333333333,0,1,2,307.79921008,1,28,4,4,1,,04,03,2000.0,44,0
250031904-13-11,250031904-13-11-04,1,3,0.3333333333333333,0,1,2,307.79921008,1,24,4,5,1,,04,09,1530.0,42,0
250032395-02-11,250032395-02-11-01,1,2,0.5,0,2,4,96.83712051,2,29,1,7,1,3,09,02,1000.0,20,0
250032395-02-11,250032395-02-11-02,1,2,0.5,0,2,4,96.83712051,1,26,1,5,1,,02,09,1320.0,44,0
250032395-06-11,250032395-06-11-02,1,2,0.5,0,2,4,64.49977366,1,56,1,2,1,,04,05,600.0,30,1
250032395-07-11,250032395-07-11-01,1,2,0.5,0,2,4,76.04537281,1,52,1,2,1,,01,06,300.0,44,1
250032907-01-11,250032907-01-11-01,1,3,0.3333333333333333,0,2,4,46.05002048,2,54,4,2,1,,01,06,300.0,40,1
250032907-01-11,250032907-01-11-02,1,4,0.25,0,2,4,46.05002048,1,28,1,2,1,,01,09,300.0,40,1
250032907-02-11,250032907-02-11-01,1,3,0.3333333333333333,0,2,4,47.17637523,2,39,1,2,1,,01,06,200.0,40,1
250032907-03-11,250032907-03-11-01,1,4,0.25,0,2,4,48.19901784,2,40,4,2,1,,11,09,200.0,32,1
250032907-03-11,250032907-03-11-02,1,4,0.25,0,2,4,48.19901784,1,20,1,5,1,,03,09,1000.0,40,1
250032907-04-11,250032907-04-11-03,1,4,0.25,0,2,4,45.75351584,1,30,4,5,1,,03,09,1200.0,40,1
250032907-11-11,250032907-11-11-01,1,3,0.3333333333333333,0,2,4,43.62954893,1,52,1,2,1,,01,06,200.0,56,1
250032907-13-11,250032907-13-11-01,1,1,1.0,0,2,4,35.58176988,1,62,4,2,1,,01,06,300.0,40,1
250032907-13-11,250032907-13-11-02,1,1,1.0,0,2,4,35.58176988,2,62,4,1,1,,01,06,300.0,40,1
250032943-01-11,250032943-01-11-01,1,3,0.3333333333333333,0,1,2,645.81784253,2,39,1,7,1,,09,04,1950.0,40,0
250032943-01-11,250032943-01-11-02,1,3,0.3333333333333333,0,1,2,645.81784253,1,31,4,5,1,,05,08,2000.0,25,1
250032943-02-11,250032943-02-11-02,1,3,0.3333333333333333,0,1,2,583.44429352,2,45,4,7,1,,04,05,1412.0,44,0
250032943-02-11,250032943-02-11-03,1,3,0.3333333333333333,0,1,2,583.44429352,1,26,1,7,1,,09,04,1412.0,44,0
250032943-03-11,250032943-03-11-01,1,3,0.3333333333333333,0,1,2,578.63363231,1,55,1,2,1,,04,05,3500.0,44,0
250032943-03-11,250032943-03-11-02,1,3,0.3333333333333333,0,1,2,578.63363231,2,51,1,3,1,,04,01,3500.0,44,1
250032943-03-11,250032943-03-11-03,1,3,0.3333333333333333,0,1,2,578.63363231,1,24,1,5,1,,02,08,1500.0,44,0
250032943-05-11,250032943-05-11-01,1,3,0.3333333333333333,0,1,2,609.20770396,1,38,1,5,1,,09,04,1800.0,44,0
250032943-05-11,250032943-05-11-02,1,3,0.3333333333333333,0,1,2,609.20770396,2,39,1,7,1,3,09,04,1412.0,30,0
250032943-07-11,250032943-07-11-02,1,3,0.3333333333333333,0,1,2,689.56575708,1,32,1,3,1,,03,07,750.0,30,1
250032943-08-11,250032943-08-11-01,1,3,0.3333333333333333,0,1,2,637.90442859,1,32,1,5,1,,02,07,1800.0,40,0
250032943-09-11,250032943-09-11-01,1,3,0.3333333333333333,0,1,2,584.80784511,2,41,4,7,1,3,09,02,3200.0,30,0
250032943-09-11,250032943-09-11-02,1,3,0.3333333333333333,0,1,2,584.80784511,1,41,4,7,1,3,08,05,5680.0,30,0
250032943-10-11,250032943-10-11-01,1,3,0.3333333333333333,0,1,2,457.99095879,2,37,2,7,1,,06,05,1412.0,42,1
250032943-11-11,250032943-11-11-01,1,1,1.0,0,1,2,532.88982981,2,44,4,2,1,,11,09,800.0,24,1
250032943-14-11,250032943-14-11-01,1,3,0.3333333333333333,0,1,2,551.41900038,2,56,4,5,1,,02,07,2000.0,40,1
250032943-14-11,250032943-14-11-02,1,3,0.3333333333333333,0,1,2,551.41900038,1,51,4,6,1,,02,07,2000.0,40,1
250032961-01-11,250032961-01-11-01,1,4,0.25,1,1,1,294.29788457,2,32,4,5,1,,04,05,1600.0,44,0
250032961-05-11,250032961-05-11-02,1,4,0.25,1,1,1,281.84697234,1,59,1,2,1,,04,08,1770.0,44,0
250032961-06-11,250032961-06-11-01,1,4,0.25,1,1,1,246.72825645,1,55,4,5,1,2,08,10,4000.0,44,0
250032961-07-11,250032961-07-11-01,1,4,0.25,1,1,1,314.63080523,2,58,4,2,1,,10,05,400.0,48,1
250032961-07-11,250032961-07-11-03,1,4,0.25,1,1,1,314.63080523,1,26,4,5,1,,05,08,1412.0,52,1
250032961-08-11,250032961-08-11-01,1,3,0.3333333333333333,1,1,1,371.37490066,2,23,1,5,1,,07,09,1412.0,44,0
250032961-09-11,250032961-09-11-01,1,4,0.25,1,1,1,406.36019591,1,20,4,3,1,,04,07,1510.0,44,0
250032961-10-11,250032961-10-11-02,1,4,0.25,1,1,1,249.56434133,1,56,1,2,1,,04,05,200.0,44,1
